1	I	1	1398
2	I	1	1244
3	I	1	1387
4	I	1	1450
5	I	1	25
6	I	1	830
7	I	34	1439
8	I	34	1330
9	I	34	1328
10	I	34	1450
11	I	34	42
12	I	34	896
13	I	67	1340
14	I	67	1394
15	I	67	1450
16	I	67	74
17	I	67	1450
18	I	67	18
19	I	67	570
20	I	101	1450
21	I	101	57
22	I	101	1421
23	I	101	1450
24	I	101	74
25	I	101	1329
26	I	101	486
27	I	134	1349
28	I	134	1292
29	I	134	1283
30	I	134	1450
31	I	134	51
32	I	134	834
33	I	167	1450
34	I	167	85
35	I	167	1450
36	I	167	1450
37	I	167	21
38	I	167	1297
39	I	167	464
40	I	201	1450
41	I	201	1429
42	I	201	1428
43	I	201	1409
44	I	201	589
45	I	234	1323
46	I	234	1450
47	I	234	1316
48	I	234	1450
49	I	234	75
50	I	234	789
51	I	267	1364
52	I	267	1358
53	I	267	1260
54	I	267	1450
55	I	267	67
56	I	267	826
57	I	301	1425
58	I	301	1320
59	I	301	1341
60	I	301	1450
61	I	301	87
62	I	301	766
63	I	334	1399
64	I	334	1347
65	I	334	1332
66	I	334	1443
67	I	334	817
68	I	367	1372
69	I	367	1293
70	I	367	1389
71	I	367	1450
72	I	367	85
73	I	367	749
74	I	401	1441
75	I	401	1450
76	I	401	85
77	I	401	1450
78	I	401	94
79	I	401	1427
80	I	401	446
81	I	434	1448
82	I	434	1440
83	I	434	1450
84	I	434	93
85	I	434	1450
86	I	434	57
87	I	434	482
88	I	467	1300
89	I	467	1450
90	I	467	94
91	I	467	1418
92	I	467	1439
93	I	467	718
94	I	501	1333
95	I	501	1450
96	I	501	34
97	I	501	1353
98	I	501	1450
99	I	501	72
100	I	501	895
101	I	534	1295
102	I	534	1437
103	I	534	1450
104	I	534	58
105	I	534	1450
106	I	534	103
107	I	534	846
108	I	567	1450
109	I	567	36
110	I	567	1332
111	I	567	1450
112	I	567	106
113	I	567	1374
114	I	567	741
115	I	601	1337
116	I	601	1431
117	I	601	1400
118	I	601	1450
119	I	601	39
120	I	601	938
121	I	634	1323
122	I	634	1398
123	I	634	1450
124	I	634	16
125	I	634	1450
126	I	634	54
127	I	634	935
128	I	667	1309
129	I	667	1321
130	I	667	1450
131	I	667	100
132	I	667	1450
133	I	667	77
134	I	667	941
135	I	701	1450
136	I	701	54
137	I	701	1333
138	I	701	1450
139	I	701	85
140	I	701	1450
141	I	701	52
142	I	701	539
143	I	734	1245
144	I	734	1450
145	I	734	67
146	I	734	1369
147	I	734	1450
148	I	734	70
149	I	734	867
150	I	767	1177
151	I	767	1450
152	I	767	58
153	I	767	1384
154	I	767	1448
155	I	767	994
156	I	801	1234
157	I	801	1426
158	I	801	1450
159	I	801	29
160	I	801	1450
161	I	801	46
162	I	801	1040
163	I	834	1450
164	I	834	65
